Matrikel,Nachname,Vorname,Email,Studiengang,Abschluss,Regelstudienzeit,Imma,Exma,Semester
2700059,Trautmann,Klaus,kt73iiar@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2016,4
3781410,Kuhlmann,Horst,hk82rirp@studserv.uni-leipzig.de,Wirtschaftsinformatik,Master of Science,4,2014,2016,4
2677700,Freitag,Stephanie,sf11erts@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
3770259,Lindner,Martin,ml94ylta@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
2364012,Michel,Katharina,km80lklh@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,8
2370608,Hager,Kristin,kh88xgwd@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2795965,Vogel,Claudia,cv51qhht@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3386891,Schneider,Wolfgang,ws66nwfg@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3289782,Maus,Bernhard,bm79ixoc@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3347103,Lehmann,Christa,cl42nuuk@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
3809552,Laue,Hermann,hl29fqsc@studserv.uni-leipzig.de,Bioinformatik,Master of Science,4,2015,2017,4
2959576,Hoffmann,Peter,ph15fesv@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2014,NA,10
2762308,Juenemann,Ernestine,ej4efui@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2016,NA,6
2816879,Zeh,Ute,uz53abse@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2014,NA,10
3070251,Breuer,Hans-Juergen,hb1uodv@studserv.uni-leipzig.de,Wirtschaftspädagogik,Bachelor of Science,6,2016,NA,6
3805566,Burger,Daniel,db21qqiu@studserv.uni-leipzig.de,Bioinformatik,Master of Science,4,2014,2016,4
3604547,Schneider,Manfred,ms84lbmb@studserv.uni-leipzig.de,Bioinformatik,Master of Science,4,2015,2018,6
3353318,Kopf,Manuela,mk25rxnb@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
3006293,Michael,Manuela,mm22jflh@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,8
3161798,Blume,Hans,hb1jlws@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
3710449,Senger,Christa,cs49hkcg@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,8
3079803,Paul,Veronika,vp30xmml@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2016,NA,6
3743614,Hoffmann,Helga,hh5vums@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
3219148,Kraus,Heinrich,hk26nflv@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,8
2390465,Schroeder,Dieter,ds30vpbz@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2513594,Thomas,Rita,rt57cyvz@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2683788,Holz,Joachim,jh51pqbn@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3058961,Dick,Wolfgang,wd74rbio@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2831427,Paul,Margrit,mp86fhcu@studserv.uni-leipzig.de,Wirtschaftsinformatik,Master of Science,4,2016,2018,4
3073635,Fink,Gerti,gf73gvdc@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
2790269,Jacob,Stefan,sj70tvgx@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
3100822,Winkler,Stephan,sw79ktvc@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2016,NA,6
3590353,Voss,Kurt,kv48fvft@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,7
3011223,Pfeffer,Toni,tp0caso@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2016,4
2753240,Maier,Anton,am31abos@studserv.uni-leipzig.de,Informatik,Master of Science,4,2015,2018,5
2408380,Decker,Karola,kd52ohte@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3599101,Schwarz,Franz,fs11ivax@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2545874,Wiese,Silvia,sw38ckft@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3136010,Moellmann,Mathias,mm75uwue@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,8
3833307,Roehl,Sabine,sr84obqf@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,7
2480715,Bohlen,Astrid,ab16uzdc@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2540926,Fritz,Klaus,kf12zwhy@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3826987,Heise,Anneliese,ah12knlp@studserv.uni-leipzig.de,Wirtschaftsmathematik,Diplom,9,2014,2018,8
2758233,Fischer,Juergen,jf24lnso@studserv.uni-leipzig.de,Wirtschaftsinformatik,Master of Science,4,2015,2017,4
3804930,Schreyer,Danilo,ds33wahg@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,8
3660069,Valentin,Hilde,hv98ghnz@studserv.uni-leipzig.de,Wirtschaftsinformatik,Master of Science,4,2015,2018,5
3614173,Preuss,Sabine,sp91diff@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
3300253,Jaeger,Jens,jj55orbt@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
3865100,Wolf,Anni,aw38pvpm@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3415052,Stein,Silvia,ss66haxh@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
3168118,Prange,Manfred,mp9enuv@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2842724,Schubert,Marianne,ms15xkgr@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2454758,Kuhn,Helene,hk50eame@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3191517,Doell,Ludmilla,ld4gusy@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3449223,Hennig,Frank,fh28bzdf@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3535940,Timm,Otto,ot12ajja@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3504607,Koch,Manuela,mk89yhvq@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3463013,Kuehnert,Sonja,sk31mkin@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2844172,Sommer,Norbert,ns96rjvy@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3513182,Wimmer,Josef,jw47owiz@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,7
3130430,Hertlein,Helene,hh68kntp@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,7
3179540,Gruber,Stefan,sg33oiqi@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
2627313,Schwanke,Friedrich,fs38ukdd@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
3841187,Kraft,Johanna,jk28fgyb@studserv.uni-leipzig.de,Wirtschaftsinformatik,Master of Science,4,2015,2018,5
3635443,Beck,Petra,pb99czxe@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
3334212,Strauss,Horst,hs23kksh@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
3251958,Otte,Luitgard,lo56kzmy@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2016,4
3304557,Mattes,Elly,em45rmwa@studserv.uni-leipzig.de,Informatik,Master of Science,4,2016,2018,4
3545630,Hennig,Harald,hh40gati@studserv.uni-leipzig.de,Informatik,Master of Science,4,2016,2018,4
3471945,Bell,Falk,fb63dcgo@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2655195,Schlueter,Dieter,ds45wiqo@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2547095,Schulz,Rita,rs31eucl@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2813425,Ecker,Gisela,ge46ynyk@studserv.uni-leipzig.de,Mathematik,Diplom,10,2014,NA,10
3494275,Stegemann,Martha,ms14scqu@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2014,NA,10
2600380,Winter,Anette,aw18hkxt@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2015,NA,8
3588700,Ruehle,Karl-Heinz,kr98indy@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2014,NA,10
2636467,Held,Johannes,jh14htwl@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2014,NA,10
3668038,Lang,Jakob,jl99qxdn@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2015,NA,8
3423071,Schulte,Cornelia,cs9zojo@studserv.uni-leipzig.de,Wirtschaftspädagogik,Bachelor of Science,6,2014,2018,8
3535585,Weber,Christina,cw79lpxw@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
3488333,Ramm,Herbert,hr13bmlg@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
3778906,Gruen,Ulrich,ug49bcmg@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
3894627,Wiens,Hans-Joachim,hw8htyi@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2016,NA,6
2939428,Siebert,Guenther,gs96exmc@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,8
2845296,Lux,Michael,ml41tkgz@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
3516623,Jacobs,Eva,ej31hgnb@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
2668698,Treiber,Hanna,ht91pcpf@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
2552754,Bauer,Marta,mb17dlld@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2595205,Preuss,Susanne,sp11ueka@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3724448,Schubert,Ralf,rs49yxrl@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2361890,Kuepper,Benjamin,bk89vgfy@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
2968607,Buhl,Paolo,pb88meip@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
3334322,Stoeckl,Adolf,as85ptrw@studserv.uni-leipzig.de,Wirtschaftsmathematik,Diplom,9,2015,NA,8
3444952,Ziegler,Petra,pz20yrhm@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
3120281,Meiser,Almuth,am21pitt@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
2706825,Reinert,Ralf,rr43kbhk@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
3933358,Kaiser,Edith,ek8hsqc@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
3499693,Lenz,Michael,ml17lfjg@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
3026064,Beutel,Hans,hb21qiql@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
2846959,Weigel,Maria,mw41ojdk@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3307553,Schmitz,Sandra,ss17xaqz@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
2369791,Steiner,Sabine,ss77aehi@studserv.uni-leipzig.de,Informatik,Master of Science,4,2015,2018,5
3726028,Kurtz,Grit,gk90kahf@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2520777,Nitsche,Guenter,gn53proe@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,7
2445967,Gross,Siegfried,sg7dsre@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2016,4
3675317,Jung,Lydia,lj74dxvw@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
2472020,Wolfrum,Hans-Guenter,hw54mvul@studserv.uni-leipzig.de,Informatik,Master of Science,4,2015,2017,4
3388808,Bruhn,Andrea,ab81naui@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2443512,Schmid,Marion,ms47mpgd@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3728064,Matz,Gerhard,gm26vooa@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3790383,Eckstein,Georg,ge60rldy@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3441965,Haak,Michaela,mh32lqht@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2708641,Wacker,Hans-Georg,hw86onmh@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
2626405,Bender,Helga,hb66twge@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3401010,Krause,Ursula,uk25aiff@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3482006,Enke,Jorge,je91efkd@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,7
3477044,Hanf,Ralf,rh57dido@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3095218,Voigt,Peter,pv31cwpb@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3887956,Albrecht,Andrea,aa16mrhn@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2626382,Scholz,Helga,hs36asgv@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
3866917,Klaus,Juliane,jk16hnll@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3528686,Maier,Gerhard,gm56vooc@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,7
3535824,Dallmann,Siegfried,sd45zjpt@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
3698570,Schwarz,Leo,ls13ivmf@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
3316629,Wendel,Imke,iw85xklw@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3218860,Mittelstaedt,Marion,mm61jpzg@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2854838,Schmidt,Hans-Joachim,hs20jysv@studserv.uni-leipzig.de,Mathematik,Diplom,10,2014,NA,10
2618598,Pagel,Rudolf,rp53qudw@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3690324,Hoffmann,Max,mh13sqwt@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,7
3667891,Kramer,Peter,pk94yszf@studserv.uni-leipzig.de,Informatik,Master of Science,4,2015,2017,4
3922903,Streit,Jana,js99rzqz@studserv.uni-leipzig.de,Informatik,Master of Science,4,2015,2017,4
2932274,Kolb,Sabine,sk13hmys@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,8
2497651,Metz,Herbert,hm66oedx@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3441398,Geisler,Volker,vg91njox@studserv.uni-leipzig.de,Informatik,Master of Science,4,2015,2017,4
3769593,Hille,Eduard,eh24mlpk@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3561559,Becker,Hildegard,hb42dhgv@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,7
3868061,Renz,Cornelia,cr73nyeo@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2640287,Seiffert,Katrin,ks25vrmg@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,7
2896274,Heid,Dennis,dh24xymy@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,7
2745317,Will,Hans,hw26wwok@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,8
3637553,Bernhardt,Kerstin,kb7vamc@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2018,7
3658386,Pongratz,Alexandra,ap69jblj@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2015,2018,6
2382559,Schroeder,Elena,es70vkon@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2669952,Dinter,Volker,vd19ncrx@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2016,4
3546861,Heinze,Eugen,eh63lmld@studserv.uni-leipzig.de,Informatik,Master of Science,4,2014,2016,4
2470865,Wagner,Helmut,hw98vynp@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
2436209,Baer,Margita,mb67kpzc@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2437850,Rost,Melanie,mr84kyat@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
3371246,Kuck,Herbert,hk9etiy@studserv.uni-leipzig.de,Wirtschaftsinformatik,Bachelor of Science,6,2014,2017,6
2855483,Horn,Franziska,fh40dmab@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,8
3547859,Kellermann,Eckard,ek43tpbf@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2821333,Bender,Georg,gb0wqdp@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2927001,Friedrich,Angela,af7vvia@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
3228470,Thielen,Annika,at62yfio@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2018,7
2882340,Lippmann,Heike,hl6krtt@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2462493,Roth,Gerd,gr92ucdw@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2618125,Holland,Marian,mh28hqxt@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
2459357,Arnold,Walter,wa62ltqt@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
2978104,Ebert,Rosemarie,re46xryk@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2016,NA,6
2988447,Rohleder,Michael,mr91wqfe@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2016,NA,6
3108259,Speck,Helma,hs75uesm@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2014,2017,6
2390585,Kretzschmar,Gabriele,gk36tymo@studserv.uni-leipzig.de,Informatik,Bachelor of Science,6,2015,2018,6
3217844,Otto,Ralf,ro39hinp@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2016,NA,6
3142631,Rothe,Steffi,sr6xuac@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2014,NA,10
3778400,Stapf,Heinz,hs42bffn@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2015,NA,8
2592065,Kuechler,Wilhelm,wk96uimc@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2017,NA,4
2817638,Peters,Rosa,rp71ssvt@studserv.uni-leipzig.de,Lehramt an Gymnasien Informatik,Staatsexamen,10,2016,NA,6
